,name
90,"C 91 400003 1St Floor,1St Sutargully,Cp Tank,Charni Road Congested Area"
91,"C 92 400003 Tulsidas Jethalal Bldg,Girgaoan,Charni Road Congested Area"
92,"C 93 400003 Glasswala Bldg,Bara Imam Road,Charni Road Congested Area"
93,"C 94 400003 Masjid X Lane,Charni Road"
94,"C 95 400003 Panchayatwadi,Bhuleshwar,Charni Road"
95,"C 96 400003 Sant Sena Mharaj Marg, Near Galli Mandir,S.V.P.Road, Girgaon,Charni Road Congested Area"
96,"C 97 400003 Dr Bldg,5Th Kumbharwada,Girgaon,Charni Road Congested Area"
97,"C 98 400003 Nagu Kamathi Chawl,Bhandarwada A, Cross Lane,Girgaon,Charni Road Congested Area"
98,"C 99 400003 Manaji Bldg,1St Bhandari Street, Near Goal Deol,Girgaon,Charni Road Congested Area"
99,"C 100 400003 Vishwaheera Bldg,Sant Sena Mharaj Marg, Goldeol,Girgaon,Charni Road Congested Area"
100,"C 101 400003 Kherwadi Bldg,Girgaon,Charni Road Congested Area"
101,"C 102 400003 Noor Estate,Ali Noor Sreet, Opp. Null Bazar,Charni Road"
102,"C 103 400003 Sumlight House,Ghoghari Mohalla,Near Pydhonie,Charni Road"
103,"C 104 400003 Manimahal Bldg,C.P.Tank,Charni Road Congested Area"
104,"C 105 400003 Tayyabi Bldg,2Nd Kumbharwada,Charni Road Congested Area"
105,"C 106 400003 Dodiya House,4Th Kumbharwada,Charni Road Congested Area"
106,"C 107 400003 Dwarkadas Mansion,Bapu Khote Street,Pydonie,Charni Road Congested Area"
107,"C 108 400003 Jamnabai Bldg,Bhandari Street,Kumbharwada,Charni Road Congested Area"
108,"C 109 400003 Laxmi Bldg,Kumbharwada,Charni Road Congested Area"
109,"C 110 400003 Bhuleshwar Road,Charni Road Congested Area"
110,"C 111 400003 Manjoba Chs,Babu Genu Road,Dawa Bazar Congested Area"
111,"C 112 400003 Masjid Building,Bhandari Street,Girgaon,Charni Road Congested Area"
112,"C 113 400003 Somji Bldg,3Rd Kumbharwada,Girgaon,Charni Road Congested Area"
113,"C 114 400003 Subhadra Bldg,1St Sp Marg,Chirabazar,Charni Road Congested Area"
114,"C 115 400003 Gani Castle Amar Street,Null Bazar,"
115,"C 116 400003 Kanchwala Bldg1St Floor,Usman Brigadier Marg, Eraskin Road,Null Bazar Congested Area"
116,"C 117 400003 3Rd Floor, Jai Hind Estate,Dr.A.M.Road,Bhuleshwar Congested Area"
117,"C 118 400003 ,3Rd Kumbharwada Congested Area"
118,"D 119 400004 Yusuf Mansion,2Nd Cross Lane,Khetwadi  Congested Area"
119,"D 120 400004 Khetwadi 3Rd Cross Lane,Panchmukhi Hanuman Temple,Khetwadi"
120,"D 121 400004 Ashok Bldg,Ad Street Opp Chandaramji School,Charni Raod"
121,"D 122 400004 Lehari Mnsion,Khetwadi 2Nd Lane,Khetwadi Congested Area"
122,"D 123 400004 419 Noor Mohammad Begum Bldg,V.P Road,Girgoan"
123,"D 124 400004 Bldg No 3 Gaiwadi,Near Vyaym Shala,Girgoan"
124,"D 125 400004 Poonawala Bldg,J S S Road,Kele Wadi,Girgaon"
125,"D 126 400004 Narayanwadi,Khadilkar Road,C P Tank"
126,"D 127 400004 Govardhan Bhuvan,11Th Khetwadi "
127,"D 128 400004 Dinath Bldg,P B Marg,Grant Raod,Grant Raod"
128,"D 129 400004 Bldg No 40,R R Marg,"
129,"D 130 400004 Moti Mansion,5Th Lane,Khetwadi,Girgaon"
130,"D 131 400004 Vinayak Vibhuti,Lamington Rd,Near Dreamland Cinema,Grant Raod East"
131,"D 132 400004 Bldg 33/H,Mughbhat Cross Lane,Girgaon"
132,"D 133 400004 16 Meher Baksh,6Th Kharwa Lane,Girgaon"
133,"D 134 400004 Khushboo Bldg,Datta Mandir,Kotachiwadi"
134,"D 135 400004 7Th Haji Suleman Bldg,P B Marg,9Th Cross Lane Masjid Lane,Grant Road"
135,"D 136 400004 Bedekar Sadan,Tatya Gharpure Path,Girgaon"
136,"D 137 400004 Badsha Bldg,P.B Marg,"
137,"D 138 400006 Sagar Nagar,Walkeshwar,Walkeshwar Rd"
138,"D 139 400006 Mata Pravati Rahvasi Sangh,Dr. B.I Rd,Walakeshwar,Napean Sea Rd Congested Area"
139,"D 140 400006 Prem Nagar Zopadapai,Dr B.I Road,Malabar Hill Congested Area"
140,"D 141 400006 Sagar Nagar Zopadapati,Dr B.I Road,Near Kalimata Nagar,Walkeshwar Congested Area"
141,"D 142 400006 Ramkhud Nagar,Banganga,Walkeshwar"
142,"D 143 400007 Firoza Mansion,Lamington Road,Shapur Baug,Grant Road"
143,"D 144 400007 Ratan Luxuria,Grant Rd,Nathia Hospital,Grant Rd"
144,"D 145 400007 Vastu Shilp Chs,Gamadia Colony,Tardeo"
145,"D 146 400007 Singhania Bldg,Balaram Street,Grant Road"
146,"D 147 400007 Dattatray Bldg,Tukaram Javaji Rd,Grant Road West"
147,"D 148 400007 Khilchi Terrace,R.K Street,Near Mallan Mall Market"
148,"D 149 400007 Abbasi Bldg,P B Marg,Play House Bus Stop "
149,"D 150 400007 Navyug Niwas, Lamington Road,Opp Minerva Cnema,Grant Raod"
150,"D 151 400007 Geeta Biulding,Pandita Ramabai Rd,Gamdevi"
151,"D 152 400007 Rippon Bldg,Balaram Street,Grant Road East"
152,"D 153 400007 48 Jk Bldg,D G Marg,Gamdevi Temple,Grant Road"
153,"D 154 400007 United Chamber,M S Ali Rd,Opp Bharat Nagar"
154,"D 155 400008 Murga Giran Building,P B Marg,Kamathipura,Kamathipura"
155,"D 156 400008 Mangli Kanduri Chawl,R S Nimkar Marg,Grant Road Congested Area"
156,"D 157 400008 Batata Chawl,P B Marg,Grant Road,Grant Rd Congested Area"
157,"D 158 400008 Noor Manzil,6Th Kumbharwada,Chor Bazar,Kamathipura"
158,"D 159 400008 Lokhandwala Chawl,Bapty Road,Arab Galli,Grant Road Congested Area"
159,"D 160 400008 Karim Bldg,P.B Marg,9Th Cross Lane,Grant Rd"
160,"D 161 400008 Rpf Barrack Terrace,Grant Rd East,Grant Rd"
161,"D 162 400008 Hakimwadi,P.B Marg,Opp Daulat Complex,Grant Rd"
162,"D 163 400008 B I T Chawl No 16,Bellasis Rd,Mumbai Central Congested Area"
163,"D 164 400008 Purshottam Bldg,P B Marg,"
164,"D 165 400008 32 Kasam Bldg,T.P Raod,Kamathipura,Girgaon"
165,"D 166 400008 Kukawala Bldg,M.S Ali Road,Mumbai Central"
166,"D 167 400008 Shankarseth Chawl,Jairaj Bai Lane,"
167,"D 168 400008 150 Muncipal Chawl,Shuklaji Street,Opp Bilal Masjid,Grant Road"
168,"D 169 400008 Parvati Mansion,Kharva Galli,Grant Road East"
169,"D 170 400008 Narthani Hights,Lamington Road,Opp Mumbai Central "
170,"D 171 400008 Habib Manzil,Grant Raod,Grant Raod"
171,"D 172 400008 Suleman Tower,Bapty Rd,Grant Raod"
172,"D 173 400008 Lokhandwala Bldg,Kharva Lane,Grant Raod"
